#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       16900       4.278683e-02       2.351124e-03       2.085696e-02       3.953253e-01       9.348853e-03       9.844313e-02
       17000       3.102506e-02       4.604096e-03       1.842317e-02       3.178625e-01       1.021733e-02       8.891425e-02
       17100       3.973772e-02       2.063942e-03       2.008821e-02       3.396810e-01       1.353888e-02       8.546874e-02
       17200       2.217750e-02       9.507025e-04       1.277059e-02       1.647857e-01       7.698873e-03       5.680194e-02
       17300       1.945485e-02       4.826229e-03       1.156257e-02       2.461783e-01       1.351007e-02       8.296297e-02
       17400       3.605200e-02       6.145406e-03       2.024355e-02       5.212144e-01       1.345050e-02       9.907608e-02
       17500       5.330120e-02       3.367034e-03       2.989630e-02       9.250645e-01       1.209235e-02       1.194778e-01
       17600       3.951398e-02       3.515714e-04       2.088272e-02       2.849321e-01       1.138159e-02       8.153667e-02
       17700       3.657887e-02       4.376689e-03       1.978442e-02       2.118543e-01       1.934835e-02       9.025111e-02
       17800       4.972781e-02       1.742652e-03       2.512342e-02       4.286929e-01       1.909203e-02       1.301487e-01
       17900       3.230558e-02       6.575270e-03       1.777016e-02       1.956321e-01       1.169425e-02       8.015014e-02
       18000       3.804098e-02       2.241015e-03       1.716949e-02       1.763503e-01       1.598457e-02       6.954959e-02
       18100       5.340122e-02       5.459686e-03       3.122044e-02       8.123945e-01       7.692567e-03       1.054790e-01
       18200       2.040385e-02       2.107558e-03       1.091661e-02       1.656200e-01       8.369806e-03       5.384391e-02
       18300       2.306117e-02       2.722710e-03       1.217467e-02       3.304054e-01       6.851616e-03       6.966222e-02
       18400       2.766503e-02       2.310698e-03       1.840577e-02       5.104825e-01       1.037656e-02       7.050584e-02
       18500       2.733543e-02       2.763816e-03       1.403558e-02       1.909618e-01       1.093199e-02       5.558777e-02
       18600       2.880600e-02       8.628251e-03       1.604199e-02       4.197972e-01       1.292921e-02       9.736071e-02
       18700       3.852316e-02       6.536576e-03       2.222385e-02       5.454957e-01       1.220586e-02       1.052714e-01
       18800       4.041236e-02       6.900150e-03       1.835503e-02       2.815797e-01       9.455711e-03       8.785455e-02
       18900       3.900179e-02       2.284734e-03       2.023828e-02       2.451986e-01       1.742292e-02       9.276034e-02
       19000       5.305381e-02       8.841415e-03       2.822197e-02       4.706672e-01       1.361711e-02       1.444639e-01
       19100       3.596407e-02       2.449083e-03       1.854093e-02       3.759803e-01       1.583088e-02       9.144098e-02
       19200       2.659507e-02       5.828119e-03       1.588367e-02       2.712426e-01       1.728614e-02       1.043828e-01
       19300       4.014564e-02       1.258699e-02       2.152501e-02       4.887222e-01       7.547677e-03       1.041851e-01
       19400       2.586686e-02       1.729337e-03       1.342169e-02       2.346206e-01       1.951291e-02       7.976525e-02
       19500       2.094488e-02       2.366147e-03       1.275746e-02       1.823507e-01       9.392100e-03       6.423719e-02
       19600       1.791024e-02       2.347372e-03       1.059536e-02       1.558679e-01       7.131785e-03       3.446296e-02
       19700       2.519843e-02       4.381498e-03       1.283616e-02       2.363664e-01       1.256489e-02       6.920155e-02
       19800       5.267305e-02       3.201556e-03       2.949282e-02       8.518431e-01       8.875356e-03       1.087155e-01
       19900       7.388978e-02       1.070552e-02       3.919700e-02       9.919840e-01       1.146449e-02       1.432396e-01
