#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  21800      7.14e-02    7.42e-02      1.01e-03    8.79e-04      2.38e-03    2.47e-03    4.5e-03
  21900      1.15e-01    1.05e-01      2.66e-02    2.56e-02      3.43e-03    3.09e-03    4.5e-03
  22000      9.23e-02    9.27e-02      1.65e-02    1.67e-02      2.89e-03    2.89e-03    4.5e-03
  22100      1.59e-01    1.14e-01      5.41e-02    4.91e-02      3.99e-03    2.15e-03    4.5e-03
  22200      2.14e-01    2.57e-01      6.00e-02    6.10e-02      5.98e-03    7.62e-03    4.5e-03
  22300      8.66e-02    8.95e-02      3.01e-02    2.98e-02      2.14e-03    2.29e-03    4.5e-03
  22400      1.22e-01    1.46e-01      4.41e-03    5.53e-03      4.06e-03    4.85e-03    4.5e-03
  22500      9.87e-02    1.49e-01      2.86e-02    3.08e-02      2.73e-03    4.55e-03    4.5e-03
  22600      2.26e-01    1.57e-01      8.68e-03    8.69e-03      7.51e-03    5.21e-03    4.5e-03
  22700      7.80e-02    7.79e-02      1.09e-02    8.36e-03      2.50e-03    2.54e-03    4.5e-03
  22800      1.04e-01    2.18e-01      6.76e-03    2.63e-03      3.43e-03    7.26e-03    4.5e-03
  22900      1.12e-01    8.23e-02      4.00e-03    6.65e-03      3.72e-03    2.71e-03    4.5e-03
  23000      1.21e-01    9.70e-02      3.86e-03    5.60e-03      4.02e-03    3.21e-03    4.5e-03
  23100      1.17e-01    1.25e-01      1.55e-02    1.19e-02      3.76e-03    4.08e-03    4.5e-03
  23200      1.34e-01    1.25e-01      3.10e-02    3.22e-02      4.00e-03    3.61e-03    4.5e-03
  23300      1.55e-01    1.51e-01      5.64e-02    6.63e-02      3.70e-03    2.67e-03    4.5e-03
  23400      9.64e-02    1.02e-01      2.29e-02    2.05e-02      2.85e-03    3.13e-03    4.5e-03
  23500      1.20e-01    1.15e-01      4.69e-02    4.30e-02      2.61e-03    2.67e-03    4.5e-03
  23600      2.12e-01    2.32e-01      8.00e-02    6.63e-02      4.86e-03    6.45e-03    4.5e-03
  23700      9.64e-02    1.13e-01      3.44e-03    7.45e-04      3.20e-03    3.75e-03    4.5e-03
  23800      8.08e-02    9.45e-02      1.45e-02    1.02e-02      2.52e-03    3.08e-03    4.5e-03
  23900      1.13e-01    1.09e-01      7.85e-03    4.75e-03      3.72e-03    3.63e-03    4.5e-03
  24000      1.62e-01    1.64e-01      5.86e-02    4.87e-02      3.85e-03    4.46e-03    4.5e-03
  24100      2.22e-01    1.42e-01      5.22e-02    5.09e-02      6.58e-03    3.42e-03    4.5e-03
  24200      1.09e-01    9.79e-02      3.52e-02    3.74e-02      2.83e-03    2.22e-03    4.5e-03
  24300      1.18e-01    8.73e-02      2.75e-02    2.87e-02      3.50e-03    2.25e-03    4.5e-03
  24400      2.01e-01    2.02e-01      4.96e-02    4.93e-02      5.89e-03    5.92e-03    4.5e-03
  24500      2.11e-01    2.29e-01      7.90e-02    8.41e-02      4.85e-03    5.40e-03    4.5e-03
  24600      1.19e-01    1.22e-01      3.14e-02    3.74e-02      3.41e-03    3.26e-03    4.5e-03
  24700      1.04e-01    6.86e-02      2.98e-03    4.20e-04      3.45e-03    2.28e-03    4.5e-03
  24800      2.65e-01    2.47e-01      4.76e-02    4.79e-02      8.27e-03    7.63e-03    4.5e-03
  24900      9.91e-02    1.11e-01      2.06e-02    2.79e-02      3.02e-03    3.22e-03    4.5e-03
